1000|1297 Via Coladi Rie|989|Roma||IT
1100|93091 Calledella Te|10934|Venice||IT
1200|2017 Shinjuku-ku|1689|Tokyo|TokyoPrefectu|JP
1300|9450 Kamiya-cho|6823|Hiroshima||JP
1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US
1500|2011 Interiors Blvd|99236|SouthSan|California|US
1600|2007 Zagora St|50090|SouthBrun|NewJersey|US
1700|2004 Charade Rd|98199|Seattle|Washington|US
1800|147 SpadinaAve|M5V2L7|Toronto|Ontario|CA
1900|6092 BoxwoodSt|YSW9T2|Whitehorse|Yukon|CA
2000|40-5-12 Laogianggen|190518|Beijing||CN
2100|1298 Vileparle(E)|490231|Bombay|Maharashtra|IN
2200|12-98 Victoria Stree|2901|Sydney|NewSouthWale|AU
2300|198 Clementi North|540198|Singapore||SG
2400|8204 Arthur St||London||UK
2500|Magdalen Centre,The|OX99ZB|Oxford|Oxford|UK
2600|9702 Chester Road|9629850293|Stretford|Manchester|UK
2700|Schwanthalerstr. 703|80925|Munich|Bavaria|DE
2800|Rua Frei Caneca 1360|01307-002|SaoPaulo|SaoPaulo|BR
2900|20 Ruedes Corps-Sai|1730|Geneva|Geneve|CH
3000|Murtenstrasse 921|3095|Bern|BE|CH
3100|Pieter Breughelstraa|3029SK|Utrecht|Utrecht|NL
3200|Mariano Escobedo 999|11932|MexicoCit|DistritoFeder|MX
